№,Province,District,Sub-District,Neighbourhood,Zip Code
314,ADANA,KARAİSALI,MERKEZKÖYLER,MEMİŞLİ KÖYÜ,01770
315,ADANA,KARAİSALI,MERKEZKÖYLER,MURTÇUKURU KÖYÜ,01770
316,ADANA,KARAİSALI,MERKEZKÖYLER,NERGİZLİK KÖYÜ,01770
317,ADANA,KARAİSALI,MERKEZKÖYLER,NUHLU KÖYÜ,01770
318,ADANA,KARAİSALI,MERKEZKÖYLER,ÖMERLİ KÖYÜ,01770
319,ADANA,KARAİSALI,MERKEZKÖYLER,ÖRCÜN KÖYÜ,01770
320,ADANA,KARAİSALI,MERKEZKÖYLER,PİRİLİ KÖYÜ,01770
321,ADANA,KARAİSALI,MERKEZKÖYLER,SADIKALİ KÖYÜ,01770
322,ADANA,KARAİSALI,MERKEZKÖYLER,SARIKONAK KÖYÜ,01770
323,ADANA,KARAİSALI,MERKEZKÖYLER,SÖĞÜTLÜ KÖYÜ,01770
324,ADANA,KARAİSALI,MERKEZKÖYLER,TATIK KÖYÜ,01770
325,ADANA,KARAİSALI,MERKEZKÖYLER,TOPAKTAŞ KÖYÜ,01770
326,ADANA,KARAİSALI,MERKEZKÖYLER,TOPKARALI KÖYÜ,01770
327,ADANA,KARAİSALI,MERKEZKÖYLER,TORUNSOLAKLI KÖYÜ,01770
328,ADANA,KARAİSALI,MERKEZKÖYLER,TÜMENLİ KÖYÜ,01770
329,ADANA,KARAİSALI,MERKEZKÖYLER,YAZIBAŞI KÖYÜ,01770
330,ADANA,KARATAŞ,KARATAŞ,BAHÇE MAH.,01900
331,ADANA,KARATAŞ,KARATAŞ,HAKKIBEY MAH.,01900
332,ADANA,KARATAŞ,KARATAŞ,KARŞIYAKA MAH.,01900
333,ADANA,KARATAŞ,KARATAŞ,KEMALİYE MAH.,01900
334,ADANA,KARATAŞ,KARATAŞ,ORTA MAH.,01900
335,ADANA,KARATAŞ,KARATAŞ,UĞURKAYA MAH.,01900
336,ADANA,KARATAŞ,KARATAŞ,YENİ MAH.,01900
337,ADANA,KARATAŞ,MERKEZKÖYLER,ADALI KÖYÜ,01900
338,ADANA,KARATAŞ,MERKEZKÖYLER,ATAKÖY KÖYÜ,01900
339,ADANA,KARATAŞ,MERKEZKÖYLER,BAHÇE KÖYÜ,01900
340,ADANA,KARATAŞ,MERKEZKÖYLER,BEBELİ KÖYÜ,01900
341,ADANA,KARATAŞ,MERKEZKÖYLER,ÇAKIRÖREN KÖYÜ,01900
342,ADANA,KARATAŞ,MERKEZKÖYLER,ÇAKŞIRLI KÖYÜ,01900
343,ADANA,KARATAŞ,MERKEZKÖYLER,ÇAVUŞLU KÖYÜ,01900
344,ADANA,KARATAŞ,MERKEZKÖYLER,ÇİMELİ KÖYÜ,01900
345,ADANA,KARATAŞ,MERKEZKÖYLER,ÇUKURKAMIŞ KÖYÜ,01900
346,ADANA,KARATAŞ,MERKEZKÖYLER,DAMLAPINAR KÖYÜ,01900
347,ADANA,KARATAŞ,MERKEZKÖYLER,DEVELİÖREN KÖYÜ,01900
348,ADANA,KARATAŞ,MERKEZKÖYLER,DOLAPLI KÖYÜ,01900
349,ADANA,KARATAŞ,MERKEZKÖYLER,GÖLYAKA KÖYÜ,01900
350,ADANA,KARATAŞ,MERKEZKÖYLER,HACIHASAN KÖYÜ,01900
351,ADANA,KARATAŞ,MERKEZKÖYLER,HASIRAĞACI KÖYÜ,01900
352,ADANA,KARATAŞ,MERKEZKÖYLER,HELVACI KÖYÜ,01900
353,ADANA,KARATAŞ,MERKEZKÖYLER,İNNAPLIHÜYÜĞÜ KÖYÜ,01900
354,ADANA,KARATAŞ,MERKEZKÖYLER,İSAHACILI KÖYÜ,01900
355,ADANA,KARATAŞ,MERKEZKÖYLER,KAPI KÖYÜ,01900
356,ADANA,KARATAŞ,MERKEZKÖYLER,KARAGÖÇER KÖYÜ,01900
357,ADANA,KARATAŞ,MERKEZKÖYLER,KARATAŞ KÖYÜ,01900
358,ADANA,KARATAŞ,MERKEZKÖYLER,KESİK KÖYÜ,01900
359,ADANA,KARATAŞ,MERKEZKÖYLER,KIRHASAN KÖYÜ,01900
360,ADANA,KARATAŞ,MERKEZKÖYLER,KIZILTAHTA KÖYÜ,01900
361,ADANA,KARATAŞ,MERKEZKÖYLER,KİREMİTLİ KÖYÜ,01900
362,ADANA,KARATAŞ,MERKEZKÖYLER,MELETMEZ KÖYÜ,01900
363,ADANA,KARATAŞ,MERKEZKÖYLER,OYMAKLI KÖYÜ,01900
364,ADANA,KARATAŞ,MERKEZKÖYLER,SARIMSAKLI KÖYÜ,01900
365,ADANA,KARATAŞ,MERKEZKÖYLER,SİRKENLİ KÖYÜ,01900
366,ADANA,KARATAŞ,MERKEZKÖYLER,TABAKLAR KÖYÜ,01900
367,ADANA,KARATAŞ,MERKEZKÖYLER,TABUR KÖYÜ,01900
368,ADANA,KARATAŞ,MERKEZKÖYLER,TERLİKSİZ KÖYÜ,01900
369,ADANA,KARATAŞ,MERKEZKÖYLER,TOPRAKLI KÖYÜ,01900
370,ADANA,KARATAŞ,MERKEZKÖYLER,TUZKUYUSU KÖYÜ,01900
371,ADANA,KARATAŞ,MERKEZKÖYLER,YASSIÖREN KÖYÜ,01900
372,ADANA,KARATAŞ,MERKEZKÖYLER,YEMİŞLİ KÖYÜ,01900
373,ADANA,KARATAŞ,MERKEZKÖYLER,YENİMURAT KÖYÜ,01900
374,ADANA,KARATAŞ,MERKEZKÖYLER,YÜZBAŞI KÖYÜ,01900
375,ADANA,KOZAN,ASLANPAŞA,AĞLIBOĞAZ MAH.,01530
376,ADANA,KOZAN,ASLANPAŞA,ASLANPAŞA MAH.,01530
377,ADANA,KOZAN,ASLANPAŞA,BAĞLAR MAH.,01530
378,ADANA,KOZAN,ASLANPAŞA,HACIUŞAĞI MAH.,01530
379,ADANA,KOZAN,ASLANPAŞA,MAHMUTLU MAH.,01530
380,ADANA,KOZAN,ASLANPAŞA,TAŞ MAH.,01530
381,ADANA,KOZAN,ASLANPAŞA,TAVŞANTEPE MAH.,01530
382,ADANA,KOZAN,ASLANPAŞA,TÜRKELI MAH.,01530
383,ADANA,KOZAN,ASLANPAŞA,YARIMOĞLU MAH.,01530
384,ADANA,KOZAN,ÇARŞI,CUMHURİYET MAH.,01510
385,ADANA,KOZAN,ÇARŞI,KARACAOĞLAN MAH.,01510
386,ADANA,KOZAN,ÇARŞI,TUFANPAŞA MAH.,01510
387,ADANA,KOZAN,GAZİKÖY,ADALET MAH.,01540
388,ADANA,KOZAN,GAZİKÖY,CUMHURİYET MAH.,01540
389,ADANA,KOZAN,GAZİKÖY,HÜRRİYET MAH.,01540
390,ADANA,KOZAN,GAZİKÖY,YENİ MAH.,01540
391,ADANA,KOZAN,HACIBEYLİ,HACIBEYLİ MAH.,01555
392,ADANA,KOZAN,KOZAN,ÇANAKLI MAH.,01500
393,ADANA,KOZAN,KOZAN,ŞEVKİYE MAH.,01500
394,ADANA,KOZAN,KOZAN,VARSAKLAR MAH.,01500
395,ADANA,KOZAN,MERKEZKÖYLER,ACARMANTAŞ KÖYÜ,01500
396,ADANA,KOZAN,MERKEZKÖYLER,AKARCA KÖYÜ,01500
397,ADANA,KOZAN,MERKEZKÖYLER,AKÇALUŞAĞI KÖYÜ,01500
398,ADANA,KOZAN,MERKEZKÖYLER,AKDAM KÖYÜ,01500
399,ADANA,KOZAN,MERKEZKÖYLER,AKKAYA KÖYÜ,01500
400,ADANA,KOZAN,MERKEZKÖYLER,ALAPINAR KÖYÜ,01500
401,ADANA,KOZAN,MERKEZKÖYLER,ANDIL KÖYÜ,01500
402,ADANA,KOZAN,MERKEZKÖYLER,ARSLANLI KÖYÜ,01500
403,ADANA,KOZAN,MERKEZKÖYLER,AYŞEHOCA KÖYÜ,01500
404,ADANA,KOZAN,MERKEZKÖYLER,BAĞÖZÜ KÖYÜ,01500
405,ADANA,KOZAN,MERKEZKÖYLER,BOZTAHTA KÖYÜ,01500
406,ADANA,KOZAN,MERKEZKÖYLER,BUCAK KÖYÜ,01500
407,ADANA,KOZAN,MERKEZKÖYLER,BULDUKLU KÖYÜ,01500
408,ADANA,KOZAN,MERKEZKÖYLER,ÇAMDERE KÖYÜ,01500
409,ADANA,KOZAN,MERKEZKÖYLER,ÇAMLARCA KÖYÜ,01500
410,ADANA,KOZAN,MERKEZKÖYLER,ÇANDIK KÖYÜ,01500
411,ADANA,KOZAN,MERKEZKÖYLER,ÇELENUŞAĞI KÖYÜ,01500
412,ADANA,KOZAN,MERKEZKÖYLER,ÇOBANPINARI KÖYÜ,01500
413,ADANA,KOZAN,MERKEZKÖYLER,ÇOKAK KÖYÜ,01500
414,ADANA,KOZAN,MERKEZKÖYLER,ÇUKURÖREN KÖYÜ,01500
415,ADANA,KOZAN,MERKEZKÖYLER,ÇULLUUŞAĞI KÖYÜ,01500
416,ADANA,KOZAN,MERKEZKÖYLER,ÇÜRÜKLÜ KÖYÜ,01500
417,ADANA,KOZAN,MERKEZKÖYLER,DAĞLICA KÖYÜ,01500
418,ADANA,KOZAN,MERKEZKÖYLER,DİKİLİTAŞ KÖYÜ,01500
419,ADANA,KOZAN,MERKEZKÖYLER,DİLEKKAYA KÖYÜ,01500
420,ADANA,KOZAN,MERKEZKÖYLER,DURALUŞAĞI KÖYÜ,01500
421,ADANA,KOZAN,MERKEZKÖYLER,DURMUŞLU KÖYÜ,01500
422,ADANA,KOZAN,MERKEZKÖYLER,DÜZAĞAÇ KÖYÜ,01500
423,ADANA,KOZAN,MERKEZKÖYLER,ERGENEUŞAĞI KÖYÜ,01500
424,ADANA,KOZAN,MERKEZKÖYLER,ESKİKABASAKAL KÖYÜ,01500
425,ADANA,KOZAN,MERKEZKÖYLER,ESKİMANTAŞ KÖYÜ,01500
426,ADANA,KOZAN,MERKEZKÖYLER,FAYDALI KÖYÜ,01500
427,ADANA,KOZAN,MERKEZKÖYLER,FERHATLI KÖYÜ,01500
428,ADANA,KOZAN,MERKEZKÖYLER,GEDİKLİ KÖYÜ,01500
429,ADANA,KOZAN,MERKEZKÖYLER,GÖKÇEYOL KÖYÜ,01500
430,ADANA,KOZAN,MERKEZKÖYLER,GÖKGÖZ KÖYÜ,01500
431,ADANA,KOZAN,MERKEZKÖYLER,GÖRBEYAZ KÖYÜ,01500
432,ADANA,KOZAN,MERKEZKÖYLER,GÜNERİ KÖYÜ,01500
433,ADANA,KOZAN,MERKEZKÖYLER,HACIMİRZALI KÖYÜ,01500
434,ADANA,KOZAN,MERKEZKÖYLER,HAMAM KÖYÜ,01500
435,ADANA,KOZAN,MERKEZKÖYLER,ILICA KÖYÜ,01500
436,ADANA,KOZAN,MERKEZKÖYLER,IŞIKKAYA KÖYÜ,01500
437,ADANA,KOZAN,MERKEZKÖYLER,IŞIKLI KÖYÜ,01500
438,ADANA,KOZAN,MERKEZKÖYLER,İDEMKÖY KÖYÜ,01500
439,ADANA,KOZAN,MERKEZKÖYLER,KABAKTEPE KÖYÜ,01500
440,ADANA,KOZAN,MERKEZKÖYLER,KAHVELİ KÖYÜ,01500
441,ADANA,KOZAN,MERKEZKÖYLER,KALKUMAÇ KÖYÜ,01500
442,ADANA,KOZAN,MERKEZKÖYLER,KAPIKAYA KÖYÜ,01500
443,ADANA,KOZAN,MERKEZKÖYLER,KARABUCAK KÖYÜ,01500
444,ADANA,KOZAN,MERKEZKÖYLER,KARACAÖREN KÖYÜ,01500
445,ADANA,KOZAN,MERKEZKÖYLER,KARAHAMZALI KÖYÜ,01500
446,ADANA,KOZAN,MERKEZKÖYLER,KARANEBİLİ KÖYÜ,01500
447,ADANA,KOZAN,MERKEZKÖYLER,KEMERKÖY KÖYÜ,01500
448,ADANA,KOZAN,MERKEZKÖYLER,KIBRISLAR KÖYÜ,01500
449,ADANA,KOZAN,MERKEZKÖYLER,KIZILLAR KÖYÜ,01500
450,ADANA,KOZAN,MERKEZKÖYLER,KIZLARSEKİSİ KÖYÜ,01500
451,ADANA,KOZAN,MERKEZKÖYLER,KÖSELİ KÖYÜ,01500
452,ADANA,KOZAN,MERKEZKÖYLER,KUYTUCAK KÖYÜ,01500
453,ADANA,KOZAN,MERKEZKÖYLER,KUYUBELİ KÖYÜ,01500
454,ADANA,KOZAN,MERKEZKÖYLER,KUYULUK KÖYÜ,01500
455,ADANA,KOZAN,MERKEZKÖYLER,MAHYALAR KÖYÜ,01500
456,ADANA,KOZAN,MERKEZKÖYLER,MARANKEÇİLİ KÖYÜ,01500
457,ADANA,KOZAN,MERKEZKÖYLER,MİNNETLİ KÖYÜ,01500
458,ADANA,KOZAN,MERKEZKÖYLER,ORUÇLU KÖYÜ,01500
459,ADANA,KOZAN,MERKEZKÖYLER,ÖRENDERE KÖYÜ,01500
460,ADANA,KOZAN,MERKEZKÖYLER,ÖZBAŞI KÖYÜ,01500
461,ADANA,KOZAN,MERKEZKÖYLER,PEKMEZCİ KÖYÜ,01500
462,ADANA,KOZAN,MERKEZKÖYLER,POSTKABASAKAL KÖYÜ,01500
463,ADANA,KOZAN,MERKEZKÖYLER,SALMANLI KÖYÜ,01500
464,ADANA,KOZAN,MERKEZKÖYLER,ŞERİFLİ KÖYÜ,01500
465,ADANA,KOZAN,MERKEZKÖYLER,TUFANLI KÖYÜ,01500
466,ADANA,KOZAN,MERKEZKÖYLER,TURGUTLU KÖYÜ,01500
467,ADANA,KOZAN,MERKEZKÖYLER,TURUNÇLU KÖYÜ,01500
468,ADANA,KOZAN,MERKEZKÖYLER,VELİCANLI KÖYÜ,01500
469,ADANA,KOZAN,MERKEZKÖYLER,YANALERİK KÖYÜ,01500
470,ADANA,KOZAN,MERKEZKÖYLER,YASSIÇALI KÖYÜ,01500
471,ADANA,KOZAN,MERKEZKÖYLER,YENİKÖY KÖYÜ,01500
472,ADANA,KOZAN,MERKEZKÖYLER,YUKARIKEÇİLİ KÖYÜ,01500
473,ADANA,POZANTI,AKÇATEKİR,AKÇA MAH.,01490
474,ADANA,POZANTI,AKÇATEKİR,BÜRÜCEK MAH.,01490
475,ADANA,POZANTI,AKÇATEKİR,BÜYÜKTEKİR MAH.,01490
476,ADANA,POZANTI,AKÇATEKİR,HACILAR MAH.,01490
477,ADANA,POZANTI,AKÇATEKİR,KÜÇÜKTEKİR MAH.,01490
478,ADANA,POZANTI,AKÇATEKİR,ÜÇOLUK MAH.,01490
479,ADANA,POZANTI,MERKEZKÖYLER,AHÇIBEKİRLİ KÖYÜ,01470
480,ADANA,POZANTI,MERKEZKÖYLER,AKÇA KÖYÜ,01470
481,ADANA,POZANTI,MERKEZKÖYLER,ALPU KÖYÜ,01470
482,ADANA,POZANTI,MERKEZKÖYLER,BELEMEDİK KÖYÜ,01470
483,ADANA,POZANTI,MERKEZKÖYLER,ÇAMLIBEL KÖYÜ,01470
484,ADANA,POZANTI,MERKEZKÖYLER,DAĞDİBİ KÖYÜ,01470
485,ADANA,POZANTI,MERKEZKÖYLER,ESKİKONACIK KÖYÜ,01470
486,ADANA,POZANTI,MERKEZKÖYLER,FINDIKLI KÖYÜ,01470
487,ADANA,POZANTI,MERKEZKÖYLER,GÖKBEZ KÖYÜ,01470
488,ADANA,POZANTI,MERKEZKÖYLER,HAMİDİYE KÖYÜ,01470
489,ADANA,POZANTI,MERKEZKÖYLER,KAMIŞLI KÖYÜ,01470
490,ADANA,POZANTI,MERKEZKÖYLER,KARAKIŞLAKÇI KÖYÜ,01470
491,ADANA,POZANTI,MERKEZKÖYLER,ÖMERLİ KÖYÜ,01470
492,ADANA,POZANTI,MERKEZKÖYLER,YAĞLITAŞ KÖYÜ,01470
493,ADANA,POZANTI,MERKEZKÖYLER,YAZICAK KÖYÜ,01470
494,ADANA,POZANTI,MERKEZKÖYLER,YENİKONACIK KÖYÜ,01470
495,ADANA,POZANTI,MERKEZKÖYLER,YUKARIBELEMEDİK KÖYÜ,01470
496,ADANA,POZANTI,POZANTI,CUMHURİYET MAH.,01470
497,ADANA,POZANTI,POZANTI,İSTİKLAL MAH.,01470
498,ADANA,POZANTI,POZANTI,KURTULUŞ MAH.,01470
499,ADANA,POZANTI,POZANTI,ZAFER MAH.,01470
500,ADANA,SAİMBEYLİ,MERKEZKÖYLER,AKSAAĞAÇ KÖYÜ,01740
501,ADANA,SAİMBEYLİ,MERKEZKÖYLER,AVCIPINARI KÖYÜ,01740
502,ADANA,SAİMBEYLİ,MERKEZKÖYLER,AYVACIK KÖYÜ,01740
503,ADANA,SAİMBEYLİ,MERKEZKÖYLER,BEYPINARI KÖYÜ,01740
504,ADANA,SAİMBEYLİ,MERKEZKÖYLER,CIVIKLI KÖYÜ,01740
505,ADANA,SAİMBEYLİ,MERKEZKÖYLER,CUMHURLU KÖYÜ,01740
506,ADANA,SAİMBEYLİ,MERKEZKÖYLER,ÇATAK KÖYÜ,01740
507,ADANA,SAİMBEYLİ,MERKEZKÖYLER,ÇERALAN KÖYÜ,01740
508,ADANA,SAİMBEYLİ,MERKEZKÖYLER,ÇORAK KÖYÜ,01740
509,ADANA,SAİMBEYLİ,MERKEZKÖYLER,DEĞİRMENCİUŞAĞI KÖYÜ,01740
510,ADANA,SAİMBEYLİ,MERKEZKÖYLER,EYÜPLÜ KÖYÜ,01740
511,ADANA,SAİMBEYLİ,MERKEZKÖYLER,GÖKMENLER KÖYÜ,01740
512,ADANA,SAİMBEYLİ,MERKEZKÖYLER,GÜRLEŞEN KÖYÜ,01740
513,ADANA,SAİMBEYLİ,MERKEZKÖYLER,HALİLBEYLİ KÖYÜ,01740
514,ADANA,SAİMBEYLİ,MERKEZKÖYLER,HİMMETLİ KÖYÜ,01740
515,ADANA,SAİMBEYLİ,MERKEZKÖYLER,KANDİLLİ KÖYÜ,01740
516,ADANA,SAİMBEYLİ,MERKEZKÖYLER,KAPAKLIKUYU KÖYÜ,01740
517,ADANA,SAİMBEYLİ,MERKEZKÖYLER,KARAKUYU KÖYÜ,01740
518,ADANA,SAİMBEYLİ,MERKEZKÖYLER,KIZILAĞAÇ KÖYÜ,01740
519,ADANA,SAİMBEYLİ,MERKEZKÖYLER,MAHMUTLU KÖYÜ,01740
520,ADANA,SAİMBEYLİ,MERKEZKÖYLER,NALTAŞ KÖYÜ,01740
521,ADANA,SAİMBEYLİ,MERKEZKÖYLER,PAYAMBURNU KÖYÜ,01740
522,ADANA,SAİMBEYLİ,MERKEZKÖYLER,TOPALLAR KÖYÜ,01740
523,ADANA,SAİMBEYLİ,MERKEZKÖYLER,TÜLÜ KÖYÜ,01740
524,ADANA,SAİMBEYLİ,MERKEZKÖYLER,YARDİBİ KÖYÜ,01740
525,ADANA,SAİMBEYLİ,MERKEZKÖYLER,YENİKÖY KÖYÜ,01740
526,ADANA,SAİMBEYLİ,SAİMBEYLİ,FATİH MAH.,01740
527,ADANA,SAİMBEYLİ,SAİMBEYLİ,İSLAM MAH.,01740
528,ADANA,SAİMBEYLİ,SAİMBEYLİ,YEŞİLBAĞLAR MAH.,01740
529,ADANA,SARIÇAM,BAKLALI,ACIDERE MAH.,01410
530,ADANA,SARIÇAM,BAKLALI,BÜYÜKBAKLALI MAH.,01410
531,ADANA,SARIÇAM,BAKLALI,KARŞIYAKA MAH.,01410
532,ADANA,SARIÇAM,BAKLALI,KÜÇÜKBAKLALI MAH.,01410
533,ADANA,SARIÇAM,BURUK,CUMHURİYET MAH,01460
534,ADANA,SARIÇAM,BURUK,İSTİKLAL MAH.,01460
535,ADANA,SARIÇAM,ÇUKUROVA ÜNİVERSİTESİ,ÇUKUROVA ÜNİVERSİTESİ,01380
536,ADANA,SARIÇAM,İNCİRLİK,CUMHURİYET MAH.,01340
537,ADANA,SARIÇAM,İNCİRLİK,HÜRRİYET MAH.,01340
538,ADANA,SARIÇAM,İNCİRLİK,MUSTAFAKEMALPAŞA MAH.,01340
539,ADANA,SARIÇAM,İNCİRLİK,YENİ MAH.,01340
540,ADANA,SARIÇAM,KÜRKÇÜLER,DAĞCI MAH.,01400
541,ADANA,SARIÇAM,KÜRKÇÜLER,GÖZTEPE MAH.,01400
542,ADANA,SARIÇAM,KÜRKÇÜLER,MÜMİNLİ MAH.,01400
543,ADANA,SARIÇAM,KÜRKÇÜLER,YÜREKLİ MAH.,01400
544,ADANA,SARIÇAM,MERKEZKÖYLER,AFLAK KÖYÜ,01790
545,ADANA,SARIÇAM,MERKEZKÖYLER,AKKUYU KÖYÜ,01790
546,ADANA,SARIÇAM,MERKEZKÖYLER,AVCILAR KÖYÜ,01790
547,ADANA,SARIÇAM,MERKEZKÖYLER,AYDINYURDU KÖYÜ,01790
548,ADANA,SARIÇAM,MERKEZKÖYLER,BOYNUYOĞUN KÖYÜ,01790
549,ADANA,SARIÇAM,MERKEZKÖYLER,BOZTEPE KÖYÜ,01790
550,ADANA,SARIÇAM,MERKEZKÖYLER,CERENLİ KÖYÜ,01790
551,ADANA,SARIÇAM,MERKEZKÖYLER,CİHADİYE KÖYÜ,01790
552,ADANA,SARIÇAM,MERKEZKÖYLER,ÇAMLICA KÖYÜ,01790
553,ADANA,SARIÇAM,MERKEZKÖYLER,ÇARKIPARE KÖYÜ,01790
554,ADANA,SARIÇAM,MERKEZKÖYLER,ÇAYLI KÖYÜ,01790
555,ADANA,SARIÇAM,MERKEZKÖYLER,ÇİÇEKLİ KÖYÜ,01790
556,ADANA,SARIÇAM,MERKEZKÖYLER,ÇİRİŞGEDİĞİ KÖYÜ,01790
557,ADANA,SARIÇAM,MERKEZKÖYLER,DUTLUCA(BOCU) KÖYÜ,01790
558,ADANA,SARIÇAM,MERKEZKÖYLER,EĞERCİUŞAĞI KÖYÜ,01790
559,ADANA,SARIÇAM,MERKEZKÖYLER,GÖKBÜVET KÖYÜ,01790
560,ADANA,SARIÇAM,MERKEZKÖYLER,HAKKIBEYLİ KÖYÜ,01790
561,ADANA,SARIÇAM,MERKEZKÖYLER,HASANBEYLİ KÖYÜ,01790
562,ADANA,SARIÇAM,MERKEZKÖYLER,HOCALI KÖYÜ,01790
563,ADANA,SARIÇAM,MERKEZKÖYLER,KARAÖMERLİ KÖYÜ,01790
564,ADANA,SARIÇAM,MERKEZKÖYLER,KARAYUSUFLU KÖYÜ,01790
565,ADANA,SARIÇAM,MERKEZKÖYLER,KARGAKEKEÇ KÖYÜ,01790
566,ADANA,SARIÇAM,MERKEZKÖYLER,KARLIK KÖYÜ,01790
567,ADANA,SARIÇAM,MERKEZKÖYLER,KAŞOBASI KÖYÜ,01790
568,ADANA,SARIÇAM,MERKEZKÖYLER,KEPEZTEPE KÖYÜ,01790
569,ADANA,SARIÇAM,MERKEZKÖYLER,KILBAŞ KÖYÜ,01790
570,ADANA,SARIÇAM,MERKEZKÖYLER,KILIÇLI KÖYÜ,01790
571,ADANA,SARIÇAM,MERKEZKÖYLER,KIZILKAŞ KÖYÜ,01790
572,ADANA,SARIÇAM,MERKEZKÖYLER,KÖSEFAKILI KÖYÜ,01790
573,ADANA,SARIÇAM,MERKEZKÖYLER,MALTEPE KÖYÜ,01790
574,ADANA,SARIÇAM,MERKEZKÖYLER,MENEKŞE KÖYÜ,01790
575,ADANA,SARIÇAM,MERKEZKÖYLER,MUSTAFALAR KÖYÜ,01790
576,ADANA,SARIÇAM,MERKEZKÖYLER,SARIÇAM KÖYÜ,01790
577,ADANA,SARIÇAM,MERKEZKÖYLER,TURUNÇLU KÖYÜ,01790
578,ADANA,SARIÇAM,MERKEZKÖYLER,ÜNLÜCE KÖYÜ,01790
579,ADANA,SARIÇAM,MERKEZKÖYLER,YAĞIZLAR KÖYÜ,01790
580,ADANA,SARIÇAM,MERKEZKÖYLER,YARIMCA KÖYÜ,01790
581,ADANA,SARIÇAM,MERKEZKÖYLER,YENİYAYLA KÖYÜ,01790
582,ADANA,SARIÇAM,REMZİOĞUZARIK,AYVALI MAH.,01250
583,ADANA,SARIÇAM,REMZİOĞUZARIK,BAYRAMHACILI MAH.,01250
584,ADANA,SARIÇAM,REMZİOĞUZARIK,BEYCELI MAH.,01250
585,ADANA,SARIÇAM,REMZİOĞUZARIK,ÇARKIPARE MAH.,01250
586,ADANA,SARIÇAM,REMZİOĞUZARIK,ÇINARLI MAH.,01250
587,ADANA,SARIÇAM,REMZİOĞUZARIK,ESENTEPE MAH.,01250
588,ADANA,SARIÇAM,REMZİOĞUZARIK,GÜLTEPE MAH.,01250
589,ADANA,SARIÇAM,REMZİOĞUZARIK,MEHMETAKİFERSOY MAH.,01250
590,ADANA,SARIÇAM,REMZİOĞUZARIK,ORHANGAZI MAH.,01250
591,ADANA,SARIÇAM,REMZİOĞUZARIK,REMZİOĞUZARIK MAH.,01250
592,ADANA,SARIÇAM,REMZİOĞUZARIK,SOFUDEDE MAH.,01250
593,ADANA,SARIÇAM,REMZİOĞUZARIK,ŞAHİNTEPE MAH.,01250
594,ADANA,SARIÇAM,REMZİOĞUZARIK,YAVUZSULTANSELİM MAH.,01250
595,ADANA,SARIÇAM,REMZİOĞUZARIK,YEŞİLTEPE MAH.,01250
596,ADANA,SARIÇAM,REMZİOĞUZARIK,YILDIRIMBEYAZIT MAH.,01250
597,ADANA,SEYHAN,AKKAPI,AKKAPI MAH.,01040
598,ADANA,SEYHAN,AKKAPI,DAĞLIOĞLU MAH.,01040
599,ADANA,SEYHAN,DENİZLİ,AHMETREMZİYÜREĞİR MAH.,01130
600,ADANA,SEYHAN,DENİZLİ,DENİZLİ MAH.,01130
601,ADANA,SEYHAN,DENİZLİ,DÖŞEME MAH.,01130
602,ADANA,SEYHAN,DENİZLİ,KURTULUŞ MAH.,01130
603,ADANA,SEYHAN,DENİZLİ,MİTHATPAŞA MAH.,01130
604,ADANA,SEYHAN,DENİZLİ,SAKARYA MAH.,01130
605,ADANA,SEYHAN,EMEK,EMEK MAH.,01080
606,ADANA,SEYHAN,EMEK,OVA MAH.,01080
607,ADANA,SEYHAN,EMEK,ŞAKİRPAŞA MAH.,01080
608,ADANA,SEYHAN,EMEK,UÇAK MAH.,01080
609,ADANA,SEYHAN,FEVZİPAŞA,AYDINLAR MAH.,01190
610,ADANA,SEYHAN,FEVZİPAŞA,BARIŞ MAH.,01190
611,ADANA,SEYHAN,FEVZİPAŞA,FEVZİPAŞA MAH.,01190
612,ADANA,SEYHAN,GAZİPAŞA,CEMALPAŞA MAH.,01120
613,ADANA,SEYHAN,GAZİPAŞA,ÇINARLI MAH.,01120
614,ADANA,SEYHAN,GAZİPAŞA,REŞATBEY MAH.,01120
615,ADANA,SEYHAN,GÜLBAHÇESİ,GÜLBAHÇESİ MAH.,01050
616,ADANA,SEYHAN,GÜRSELPAŞA,2000EVLER MAH.,01200
617,ADANA,SEYHAN,GÜRSELPAŞA,BAHÇEŞEHİR MAH.,01200
618,ADANA,SEYHAN,GÜRSELPAŞA,GÜRSELPAŞA MAH.,01200
619,ADANA,SEYHAN,GÜRSELPAŞA,YENİ MAH.,01200
620,ADANA,SEYHAN,HADIRLI,HADIRLI MAH.,01365
621,ADANA,SEYHAN,HÜKÜMET,ALİDEDE MAH.,01020
622,ADANA,SEYHAN,HÜKÜMET,BEŞOCAK MAH.,01020
623,ADANA,SEYHAN,HÜKÜMET,HÜRRİYET MAH.,01020
624,ADANA,SEYHAN,HÜKÜMET,MESTANZADE MAH.,01020
625,ADANA,SEYHAN,HÜKÜMET,SARIYAKUP MAH.,01020
626,ADANA,SEYHAN,HÜKÜMET,ŞEHİTDURAN MAH.,01020
627,ADANA,SEYHAN,HÜKÜMET,TÜRKOCAĞI MAH.,01020
628,ADANA,SEYHAN,HÜKÜMET,YENİBEY MAH.,01020
629,ADANA,SEYHAN,KARAYUSUFLU,BAHÇELİEVLER MAH.,01355
630,ADANA,SEYHAN,KARAYUSUFLU,BÜYÜKÇILDIRIM MAH.,01355
