COD_ATECO,DESC_ATECO
52.2,"COMMERCIO AL DETTAGLIO IN ESERCIZI SPECIALIZZATI DI PRODOTTI ALIMENTARI, BEVANDE E TABACCO"
52.21,Commercio al dettaglio di frutta e verdura
52.23,"Commercio al dettaglio di pesci, crostacei e molluschi"
52.24,"Commercio al dettaglio di pane e prodotti di panetteria; pasticceria, dolciumi e confetteria"
52.24.1,Commercio al dettaglio di pane e prodotti di panetteria
52.25,Commercio al dettaglio di bevande
52.26,Commercio al dettaglio di prodotti del tabacco e di altri generi di monopolio
52.27.1,"Commercio al dettaglio di latte e di prodotti lattiero-caseari, escluse le uova"
52.27.2,"Drogherie, salumerie, pizzicherie e simili"
52.27.4,"Commercio al dettaglio di altri prodotti alimentari n.c.a., compresi gli oli alimentari"
52.31,Farmacie e dispensari farmaceutici
52.32,Commercio al dettaglio di prodotti sanitari ed apparecchi medicali ed ortopedici
52.33,"Commercio al dettaglio di cosmetici, articoli di profumeria e per l'igiene personale; erboristerie"
52.33.2,"Commercio al dettaglio di cosmetici, articoli di profumeria e per l'igiene personale"
52.4,"COMMERCIO AL DETTAGLIO DI ALTRI PRODOTTI NON ALIMENTARI, ESCLUSI QUELLI DI SECONDA MANO"
52.41,"Commercio al dettaglio di tessili, esclusi tappeti e tende"
52.41.2,Commercio al dettaglio di filati per maglieria e di merceria
52.42,Commercio al dettaglio di articoli di abbigliamento ed accessori
52.42.2,Commercio al dettaglio di confezioni per bambini e neonati
52.42.3,Commercio al dettaglio di biancheria e maglieria intima; camicieria
52.42.5,"Commercio al dettaglio di accessori d'abbigliamento: cappelli, ombrelli, cravatte e simili, esclusi gli articoli di pelletteria"
52.43.1,Commercio al dettaglio di calzature ed accessori
52.43.2,Commercio al dettaglio di articoli di pelletteria e da viaggio
52.44.1,"Commercio al dettaglio di mobili, compresi quelli per ufficio"
52.44.3,Commercio al dettaglio di materiale elettrico e di articoli per l'illuminazione
52.44.4,Commercio al dettaglio di altri articoli per uso domestico n.c.a.
52.45.1,"Commercio al dettaglio di elettrodomestici, apparecchi radiotelevisivi; apparecchi per la registrazione e la riproduzione del suono e dell'immagine"
52.45.3,"Commercio al dettaglio di strumenti musicali, compresi gli spartiti"
52.46,"Commercio al dettaglio di ferramenta e bricolage; materiale termoidraulico; vernici e colori; vetro piano; articoli igienico-sanitari; materiali da costruzione; macchine, attrezzature e prodotti per l'agricoltura; attrezzature per il giardinaggio, esclusi i semi ed i fertilizzanti; prodotti per la zootecnia, esclusi gli articoli e gli alimenti per gli animali domestici"
52.46.2,Commercio al dettaglio di articoli igienico-sanitari
52.46.3,Commercio al dettaglio di materiali da costruzione e legname
52.47,"Commercio al dettaglio di libri; giornali, riviste e periodici; articoli di cancelleria e cartoleria"
52.47.1,Commercio al dettaglio di libri
52.47.3,Commercio al dettaglio di articoli di cancelleria e cartoleria
52.48.A,"Commercio al dettaglio di fiori, piante, bulbi, semi e fertilizzanti"
52.48.B,"Commercio al dettaglio di animali domestici, compresi articoli ed alimenti"
52.48.D,Commercio al dettaglio di combustibili per uso domestico e per riscaldamento
52.48.E1,"Commercio al dettaglio di filatelia, numismatica e articoli da collezionismo"
52.48.E3,Commercio al dettaglio di articoli funerari e cimiteriali
52.48.E5,Commercio al dettaglio di articoli per adulti (sexy shop)
52.48.1,"Commercio al dettaglio di macchine e attrezzature per ufficio, esclusi i mobili"
52.48.2,"Commercio al dettaglio di articoli per fotografia, cinematografia ed ottica; strumenti ed attrezzature per uso scientifico"
52.48.4,Commercio al dettaglio di giochi e giocattoli; videogiochi; articoli per puericoltura; articoli pirotecnici e per le feste
52.48.51,Commercio al dettaglio di articoli sportivi e per il tempo libero
52.48.53,"Commercio al dettaglio di medaglie, coppe, targhe e trofei"
52.48.55,"Commercio al dettaglio di articoli militari, esclusi vestiario e calzature"
52.48.61,"Commercio al dettaglio di oggetti d'arte, esclusi quelli d'antiquariato"
52.48.63,Commercio al dettaglio di oggetti d'artigianato e di decorazione
52.48.65,Commercio al dettaglio di articoli da regalo e per fumatori
52.48.67,"Commercio al dettaglio di chincaglieria e bigiotteria, compresi gli oggetti ricordo e gli articoli di promozione pubblicitaria"
52.48.7,Commercio al dettaglio di apparecchi ed attrezzature per le telecomunicazioni e la telefonia
52.48.8,"Commercio al dettaglio di natanti, compresi parti ed accessori"
52.5,"COMMERCIO AL DETTAGLIO DI ARTICOLI DI SECONDA MANO, ESCLUSE LE CASE DI VENDITA ALL'ASTA; MOBILI ED OGGETTI DI ANTIQUARIATO, COMPRESI I LIBRI ANTICHI"
52.50.1,Commercio al dettaglio di libri usati
52.50.3,Commercio al dettaglio di indumenti ed altri oggetti usati
52.6,COMMERCIO AL DETTAGLIO AL DI FUORI DEI NEGOZI
52.61,"Commercio al dettaglio effettuato per corrispondenza, per telefono, per radio e per televisione; commercio al dettaglio effettuato via Internet (commercio elettronico)"
52.61.11,Commercio al dettaglio di prodotti alimentari effettuato per televisione
52.61.2,"Commercio al dettaglio di prodotti non alimentari effettuato per corrispondenza, per telefono, per radio e per televisione, esclusi i veicoli"
52.61.21,"Commercio al dettaglio di prodotti non alimentari effettuato per televisione, esclusi i veicoli"
52.61.3,Commercio al dettaglio di prodotti alimentari effettuato via Internet (commercio elettronico)
52.62,Commercio al dettaglio ambulante a posteggio fisso
52.62.1,Commercio al dettaglio ambulante a posteggio fisso di alimentari e bevande
52.62.12,Commercio al dettaglio ambulante a posteggio fisso di prodotti ittici
52.62.14,Commercio al dettaglio ambulante a posteggio fisso di altri prodotti alimentari
52.62.21,"Commercio al dettaglio ambulante a posteggio fisso di tessuti, esclusi tappeti e stuoie; articoli tessili per la casa; merceria"
52.62.3,"Commercio al dettaglio ambulante a posteggio fisso di calzature, compresi gli accessori; articoli in pelle e cuoio"
52.62.5,"Commercio al dettaglio ambulante a posteggio fisso di articoli di occasione, sia nuovi sia usati"
52.62.6,Commercio al dettaglio ambulante a posteggio fisso di altri prodotti non alimentari
52.62.61,"Commercio al dettaglio ambulante a posteggio fisso di fiori, piante, bulbi, semi e fertilizzanti"
52.62.63,"Commercio al dettaglio ambulante a posteggio fisso di macchine, attrezzature e prodotti per l'agricoltura; attrezzature per il giardinaggio, esclusi semi e fertilizzanti"
52.62.65,Commercio al dettaglio ambulante a posteggio fisso di opere d'arte ed oggetti di antiquariato
52.62.67,Commercio al dettaglio ambulante a posteggio fisso di giocattoli
52.62.69,Commercio al dettaglio ambulante a posteggio fisso di articoli di ferramenta e bricolage
52.63.1,Commercio al dettaglio effettuato mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta)
52.63.12,Commercio al dettaglio di prodotti non alimentari effettuato mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta)
52.63.21,Commercio al dettaglio di prodotti alimentari effettuato per mezzo di distributori automatici
52.63.3,Commercio al dettaglio ambulante itinerante di alimentari e bevande
52.63.31,Commercio al dettaglio ambulante itinerante di prodotti ortofrutticoli
52.63.33,Commercio al dettaglio ambulante itinerante di altri prodotti alimentari
52.63.5,Commercio al dettaglio ambulante itinerante di altri prodotti non alimentari
52.7,RIPARAZIONE DI BENI DI CONSUMO PERSONALI E PER LA CASA
52.71,Riparazione di calzature ed altri articoli in cuoio; riparazione di articoli da viaggio e simili
52.72,Riparazione di apparecchi elettrici per la casa
52.72.02,Riparazione di apparecchi radiotelevisivi ed apparecchi per la riproduzione del suono e dell'immagine
52.73,Riparazione di orologi e di gioielli
52.74,Riparazione di altri beni di consumo
52.74.01,Riparazione di biciclette
52.74.03,Riparazione di telefoni cellulari
52.74.05,Incisioni rapide su metallo non prezioso
55,ALBERGHI E RISTORANTI
55.1,"ALBERGHI, HOTEL, PENSIONI E SIMILI"
55.10.01,"Alberghi, hotel, pensioni e simili con attivita' mista di fornitura di alloggio e di ristorante (ed eventualmente di bar)"
55.2,"OSTELLI DELLA GIOVENTU', RIFUGI DI MONTAGNA, CAMPEGGI ED ALTRI ALLOGGI PER BREVI SOGGIORNI"
55.21,Ostelli della gioventu' e rifugi di montagna
55.21.2,Rifugi di montagna
55.22,Campeggi ed aree attrezzate per roulotte
55.23.1,Villaggi turistici
55.23.2,Colonie marine e montane
55.23.4,"Fornitura di alloggio per brevi soggiorni presso affittacamere, case ed appartamenti per vacanze, Bed & Breakfast e residence; altri alloggi per brevi soggiorni n.c.a."
55.23.6,Alloggi per studenti e lavoratori con servizi di tipo alberghiero
55.3,RISTORAZIONE
55.30.1,Ristorazione con somministrazione
55.30.3,Servizi di ristorazione su treni e navi
55.4,"BAR E CAFFETTERIE; BIRRERIE, PUB, ENOTECHE ED ALTRI ESERCIZI SIMILI SENZA CUCINA"
55.40.01,Bar e caffetterie
55.5,MENSE; CATERING E BANQUETING
55.51,Mense
55.52,Catering e banqueting
60,TRASPORTI TERRESTRI; TRASPORTI MEDIANTE CONDOTTE
60.1,TRASPORTI FERROVIARI
60.2,ALTRI TRASPORTI TERRESTRI
60.21,Altri trasporti terrestri regolari di passeggeri
60.22.1,Trasporti con veicoli da piazza
60.22.2,Trasporti mediante noleggio di autovettura da rimessa con conducente
60.24,Trasporti di merci su strada
60.3,TRASPORTI MEDIANTE CONDOTTE
60.30.1,"Trasporti di gas mediante condotte, compresa la gestione delle relative stazioni di pompaggio"
61,TRASPORTI MARITTIMI E PER VIE D'ACQUA
61.1,TRASPORTI MARITTIMI E COSTIERI
61.2,"TRASPORTI PER VIE D'ACQUA INTERNE, COMPRESI I TRASPORTI LAGUNARI"
62,TRASPORTI AEREI
62.1,"TRASPORTI AEREI DI LINEA, ESCLUSI I VOLI CHARTER"
62.2,TRASPORTI AEREI NON DI LINEA; VOLI CHARTER (DI LINEA E NON DI LINEA)
62.3,TRASPORTI SPAZIALI; LANCIO DI SATELLITI
63,ATTIVITA' DI SUPPORTO ED AUSILIARIE DEI TRASPORTI; AGENZIE DI VIAGGIO
63.1,MOVIMENTAZIONE MERCI; MAGAZZINAGGIO E CUSTODIA (PER CONTO TERZI)
63.11,Movimentazione merci
63.11.1,Movimentazione merci relativa a trasporti aerei
85.14.3,Psicologi
85.14.4,Servizi di ambulanza; banche del sangue e simili; altri servizi sanitari non paramedici
85.3,ASSISTENZA SOCIALE
85.31,Assistenza sociale residenziale
85.31.01,Case di riposo ed altri istituti di ricovero per anziani
85.32,Assistenza sociale non residenziale
85.32.02,Assistenza domiciliare
90,"SMALTIMENTO DEI RIFIUTI SOLIDI, DELLE ACQUE DI SCARICO E SIMILI"
90.01,Raccolta e depurazione delle acque di scarico
90.02,Raccolta e smaltimento dei rifiuti solidi
90.03,Pulizia delle aree pubbliche; decontaminazione e disinquinamento dell'ambiente
92,"ATTIVITA' RICREATIVE, CULTURALI E SPORTIVE"
92.1,PRODUZIONI E DISTRIBUZIONI CINEMATOGRAFICHE E DI VIDEO; PROIEZIONI CINEMATOGRAFICHE
92.11,"Produzioni cinematografiche e di video, compresi i servizi connessi; studi di registrazione sonora"
92.12,"Distribuzioni cinematografiche e di video, compresi i servizi connessi"
92.2,"ATTIVITA' RADIOTELEVISIVE, ESCLUSA LA GESTIONE DI RETI DI TRASMISSIONE DEI SEGNALI RADIOTELEVISIVI"
92.3,CREAZIONI ED INTERPRETAZIONI ARTISTICHE E LETTERARIE; ORGANIZZAZIONE DI SPETTACOLI; RESTAURO E CONSERVAZIONE DI OPERE D'ARTE; ALTRE ATTIVITA' RICREATIVE E CULTURALI
92.31,Creazioni ed interpretazioni artistiche e letterarie; organizzazione di spettacoli; restauro e conservazione di opere d'arte
92.31.01,Creazioni ed interpretazioni artistiche e letterarie
92.31.03,Restauro e conservazione di opere d'arte
92.33,"Parchi di divertimento, luna-park e simili; trasporto di passeggeri a fini ricreativi"
92.33.01,"Parchi di divertimento, luna-park e simili"
92.34,Attivita' di intrattenimento e spettacolo n.c.a.
92.34.11,"Discoteche, sale da ballo, night clubs e simili"
92.34.2,Circhi
92.34.3,Altre attivita' di intrattenimento e di spettacolo n.c.a.
92.5,"BIBLIOTECHE, ARCHIVI, MUSEI ED ALTRE ATTIVITA' CULTURALI"
92.51,Biblioteche ed archivi
92.52,Musei e gestione del patrimonio culturale
92.6,ATTIVITA' SPORTIVE
92.61,Stadi ed altri impianti sportivi
92.61.1,Stadi
92.61.3,Campi da tennis
92.61.4,Impianti polivalenti
92.61.6,Altri impianti sportivi
92.62.1,Enti di promozione sportiva; promozione ed organizzazione di eventi sportivi
92.62.2,Attivita' sportive prestate da atleti professionisti indipendenti
92.62.4,"Societa' sportive ed altri nuclei organizzativi di base; scuole di nuoto, equitazione, vela, sci, scherma e simili"
92.62.42,"Scuole di nuoto, equitazione, vela, sci, scherma e simili"
92.71,"Ricevitorie del Lotto, SuperEnalotto, Totocalcio, ecc.; sale scommesse; case da gioco (casino') e sale Bingo; attivita' connesse con le lotterie e con il gioco d'azzardo"
92.71.01,"Ricevitorie del Lotto, SuperEnalotto, Totocalcio, ecc."
92.71.03,Case da gioco (casino') e sale Bingo
92.72,Altre attivita' ricreative
92.72.1,"Stabilimenti balneari: marittimi, lacuali e fluviali"
92.72.3,Altre attivita' ricreative n.c.a.
93.01,Lavanderie; tintorie di articoli tessili e pellicce
93.01.1,Lavanderie industriali
93.02,Parrucchieri e barbieri; manicure e pedicure; trattamenti estetici
93.02.01,Parrucchieri e barbieri
93.02.03,Trattamenti estetici
93.04,Centri per il benessere fisico
93.04.2,Stabilimenti idropinici ed idrotermali
93.05,Altri servizi n.c.a.
93.05.02,"Servizi di cura degli animali da compagnia, esclusi i servizi veterinari"
95,ATTIVITA' DI DATORE DI LAVORO PER PERSONALE DOMESTICO SVOLTO DA FAMIGLIE E CONVIVENZE (NOTA: ATTIVITA' NON PRESENTE NEL REGISTRO IMPRESE)
96,PRODUZIONE DI BENI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE (NOTA: ATTIVITA' NON PRESENTE NEL REGISTRO IMPRESE)
97,PRODUZIONE DI SERVIZI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE (NOTA: ATTIVITA' NON PRESENTE NEL REGISTRO IMPRESE)
N.P.,Non Valorizzato
